,price_type,metric_code,study_number,location_type,adjustment_index,adjusted,sale_type,frequency,date,rand_millions,datetime
85,Constant prices,B64203_CON,P6420,Take-away and fast food,2015 = 100,Actual figures,bar,MONTHLY,09-2005,,2005-09-01
86,Constant prices,C64203_CON,P6420,Take-away and fast food,2015 = 100,Actual figures,other,MONTHLY,09-2005,,2005-09-01
87,Constant prices,D64203_CON,P6420,Take-away and fast food,2015 = 100,Actual figures,total,MONTHLY,09-2005,,2005-09-01
88,Constant prices,A64209_CON,P6420,Catering,2015 = 100,Actual figures,food,MONTHLY,09-2005,,2005-09-01
89,Constant prices,B64209_CON,P6420,Catering,2015 = 100,Actual figures,bar,MONTHLY,09-2005,,2005-09-01
90,Constant prices,C64209_CON,P6420,Catering,2015 = 100,Actual figures,other,MONTHLY,09-2005,,2005-09-01
91,Constant prices,D64209_CON,P6420,Catering,2015 = 100,Actual figures,total,MONTHLY,09-2005,,2005-09-01
92,Constant prices,A64200_CON,P6420,Total industry,2015 = 100,Actual figures,food,MONTHLY,09-2005,,2005-09-01
93,Constant prices,B64200_CON,P6420,Total industry,2015 = 100,Actual figures,bar,MONTHLY,09-2005,,2005-09-01
94,Constant prices,C64200_CON,P6420,Total industry,2015 = 100,Actual figures,other,MONTHLY,09-2005,,2005-09-01
95,Constant prices,D64200_CON,P6420,Total industry,2015 = 100,Actual figures,total,MONTHLY,09-2005,,2005-09-01
96,Current prices,A64201_SEAS,P6420,Restaurants and coffee shops,,Seasonally adjusted,food,MONTHLY,09-2005,1003.8,2005-09-01
97,Current prices,B64201_SEAS,P6420,Restaurants and coffee shops,,Seasonally adjusted,bar,MONTHLY,09-2005,146.0,2005-09-01
98,Current prices,C64201_SEAS,P6420,Restaurants and coffee shops,,Seasonally adjusted,other,MONTHLY,09-2005,10.3,2005-09-01
99,Current prices,D64201_SEAS,P6420,Restaurants and coffee shops,,Seasonally adjusted,total,MONTHLY,09-2005,1160.2,2005-09-01
100,Current prices,A64203_SEAS,P6420,Take-away and fast food,,Seasonally adjusted,food,MONTHLY,09-2005,452.7,2005-09-01
101,Current prices,B64203_SEAS,P6420,Take-away and fast food,,Seasonally adjusted,bar,MONTHLY,09-2005,1.5,2005-09-01
102,Current prices,C64203_SEAS,P6420,Take-away and fast food,,Seasonally adjusted,other,MONTHLY,09-2005,0.3,2005-09-01
103,Current prices,D64203_SEAS,P6420,Take-away and fast food,,Seasonally adjusted,total,MONTHLY,09-2005,454.5,2005-09-01
104,Current prices,A64209_SEAS,P6420,Catering,,Seasonally adjusted,food,MONTHLY,09-2005,334.7,2005-09-01
105,Current prices,B64209_SEAS,P6420,Catering,,Seasonally adjusted,bar,MONTHLY,09-2005,43.7,2005-09-01
106,Current prices,C64209_SEAS,P6420,Catering,,Seasonally adjusted,other,MONTHLY,09-2005,87.5,2005-09-01
107,Current prices,D64209_SEAS,P6420,Catering,,Seasonally adjusted,total,MONTHLY,09-2005,465.8,2005-09-01
108,Current prices,A64200_SEAS,P6420,Total industry,,Seasonally adjusted,food,MONTHLY,09-2005,1791.2,2005-09-01
109,Current prices,B64200_SEAS,P6420,Total industry,,Seasonally adjusted,bar,MONTHLY,09-2005,191.3,2005-09-01
110,Current prices,C64200_SEAS,P6420,Total industry,,Seasonally adjusted,other,MONTHLY,09-2005,98.1,2005-09-01
111,Current prices,D64200_SEAS,P6420,Total industry,,Seasonally adjusted,total,MONTHLY,09-2005,2080.5,2005-09-01
112,Constant prices,A64201_CON_D11,P6420,Restaurants and coffee shops,2015 = 100,Seasonally adjusted,food,MONTHLY,09-2005,,2005-09-01
113,Constant prices,B64201_CON_D11,P6420,Restaurants and coffee shops,2015 = 100,Seasonally adjusted,bar,MONTHLY,09-2005,,2005-09-01
114,Constant prices,C64201_CON_D11,P6420,Restaurants and coffee shops,2015 = 100,Seasonally adjusted,other,MONTHLY,09-2005,,2005-09-01
115,Constant prices,D64201_CON_D11,P6420,Restaurants and coffee shops,2015 = 100,Seasonally adjusted,total,MONTHLY,09-2005,,2005-09-01
116,Constant prices,A64203_CON_D11,P6420,Take-away and fast food,2015 = 100,Seasonally adjusted,food,MONTHLY,09-2005,,2005-09-01
117,Constant prices,B64203_CON_D11,P6420,Take-away and fast food,2015 = 100,Seasonally adjusted,bar,MONTHLY,09-2005,,2005-09-01
118,Constant prices,C64203_CON_D11,P6420,Take-away and fast food,2015 = 100,Seasonally adjusted,other,MONTHLY,09-2005,,2005-09-01
119,Constant prices,D64203_CON_D11,P6420,Take-away and fast food,2015 = 100,Seasonally adjusted,total,MONTHLY,09-2005,,2005-09-01
